School,Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary,Player-additional
Pitt,Amsal Delalić,52,FR,G,6-7,210,Tuzla Bosnia and Herzegovina,SKK Borac (Bosnia and Herzegovina),,3.8 Pts 2.0 Reb 0.7 Ast,amsal-delalic-1
Pitt,Papa Amadou Kante,4,FR,F,6-10,235,Dakar Senegal,South Kent Prep (CT),84 (2023),2.1 Pts 1.1 Reb 0.2 Ast,papa-amadou-kante-1
Pitt,Marlon Barnes,11,FR,F,6-6,190,Cleveland OH,Ypsi Prep (MI); Brush (OH),,0.4 Pts 0.3 Reb 0.3 Ast,marlon-barnes-jr-1
Pitt,Amdy Ndiaye,0,FR,F,6-10,205,Dakar Senegal,Putnam Science Academy (CT),,0.3 Pts 0.8 Reb 0.0 Ast,amdy-ndiaye-1
Pitt,Vason Stevenson,21,JR,F,6-3,190,McKees Rocks PA,Montour (PA),,2.0 Pts 0.0 Reb 0.0 Ast,vason-stevenson-1
Virginia,Isaac McKneely,11,JR,G,6-4,179,Poca WV,Poca (WV),63 (2022),14.4 Pts 2.7 Reb 2.9 Ast,isaac-mckneely-1
Virginia,Elijah Saunders,2,JR,F,6-8,240,Phoenix AZ,Sunnyslope (AZ),,10.4 Pts 5.0 Reb 0.8 Ast,elijah-saunders-1
Virginia,Andrew Rohde,4,JR,G,6-6,185,Brookfield WI,Brookfield Central (WI),,9.3 Pts 2.9 Reb 4.3 Ast,andrew-rohde-1
Virginia,Dai Dai Ames,7,SO,G,6-1,185,Chicago IL,Kenwood Academy (IL),66 (2023),8.7 Pts 1.4 Reb 1.9 Ast,dai-dai-ames-1
Virginia,Jacob Cofie,5,FR,F,6-10,232,Seattle WA,Eastside Catholic School (WA),91 (2024),7.2 Pts 4.6 Reb 1.0 Ast,jacob-cofie-1
Virginia,Blake Buchanan,0,SO,F,6-11,215,Coeur d'Alene ID,Lake City (ID),75 (2023),5.4 Pts 5.3 Reb 1.4 Ast,blake-buchanan-3
Virginia,Taine Murray,10,SR,G,6-5,207,Auckland New Zealand,Rosmini College (New Zealand),,4.1 Pts 1.5 Reb 1.6 Ast,taine-murray-1
Virginia,Ishan Sharma,9,FR,G,6-5,192,Milton Canada,Fort Erie International Academy (Canada),,3.4 Pts 1.3 Reb 0.8 Ast,ishan-sharma-1
Virginia,Anthony Robinson,21,FR,F,6-10,238,Peachtree City GA,Starr's Mill (GA); Christ School (NC),,3.6 Pts 2.4 Reb 0.1 Ast,anthony-robinson-6
Virginia,TJ Power,23,SO,F,6-9,216,Shrewsbury MA,Worcester Academy (MA),21 (2023),1.3 Pts 1.0 Reb 0.6 Ast,tj-power-2
Virginia,Desmond Roberts,13,SO,G,6-4,205,Charlottesville VA,St. Anne's-Belfield (VA),,0.8 Pts 0.6 Reb 0.0 Ast,desmond-roberts-1
Virginia,Bryce Walker,8,SR,G,6-2,200,Beltsville MD,Our Lady of Good Counsel (MD); New Hampton School (NH),,0.3 Pts 0.0 Reb 0.2 Ast,bryce-walker-1
Virginia,Eli Bennett,25,JR,G,6-2,160,Charlottesville VA,St. Annes's-Belfield School,,0.0 Pts 0.0 Reb 0.0 Ast,eli-bennett-1
Virginia,Markus Rouse,42,JR,G,6-2,,,,,0.0 Pts 0.0 Reb 0.0 Ast,markus-rouse-1
